graph,phons,cgram,genre,nmbre,frfrm,frlex,cfrlex,nvarphon,schwa,redcons,nvarsem,vimag,ngraphs,nphons,nsyll,igraph,iphons,mgraph,pugraph,puphon,nbhom,nbhomg,nbhomp,nvoisort,phons1,phons2,freqdigr
a,a,NO,m,,2531,2531,340,0,0,0,0,0,1,1,1,a,a,A,3,2,0,0,1,0,V,V,0.00
à,a,PR,,,2010176,2010176,630,0,0,0,0,0,1,1,1,à,a,A,2,2,0,0,1,0,V,V,0.00
abaissement,abèsmâ,NO,m,,676,676,283,0,0,0,0,0,11,6,3,tnemessiaba,âmsèba,ABAISSEMENT,8,5,0,0,0,0,VCVCCV,VBVSNV,2.94
abaisser,abésé,VB,,,1671,1671,322,0,0,0,0,0,8,5,3,ressiaba,éséba,ABAISSER,8,4,0,0,0,0,VCVCV,VBVSV,2.88
abandon,abâdô,NO,m,,3497,3497,354,0,0,0,0,0,7,5,3,nodnaba,ôdâba,ABANDON,8,5,0,0,0,0,VCVCV,VBVBV,2.63
abandonner,abâdoné,VB,,,9814,9814,399,0,0,0,0,0,10,7,4,rennodnaba,énodâba,ABANDONNER,8,5,0,0,0,0,VCVCVCV,VBVBVNV,2.74
abaque,abak,NO,m,,0,0,0,0,0,0,0,0,6,4,2,euqaba,kaba,ABAQUE,4,4,0,0,0,0,VCVC,VBVP,2.50
abasourdir,abazuRdiR,VB,,,12,12,111,0,0,0,0,0,10,9,4,ridruosaba,RidRuzaba,ABASOURDIR,10,9,0,0,0,0,VCVCVCCVC,VBVZVLBVL,2.68
abasourdissant,abazuRdisâ,AJ,m,,4,4,69,0,0,0,0,0,14,10,5,tnassidruosaba,âsidRuzaba,ABASOURDISSANT,15,11,0,0,0,0,VCVCVCCVCV,VBVZVLBVSV,2.76
abasourdissante,abazuRdisât,AJ,f,,-1,4,69,0,0,0,0,0,15,11,5,etnassidruosaba,tâsidRuzaba,ABASOURDISSANTE,15,11,0,0,0,0,VCVCVCCVCV,VBVZVLBVSV,2.76
abâtardir,abAtaRdiR,VB,,,38,38,159,0,0,0,0,0,9,9,4,ridratâba,RidRatAba,ABATARDIR,3,3,0,0,0,0,VCVCVCCVC,VBVPVLBVL,2.31
abat-jour,abajuR,NO,m,,293,293,246,0,0,0,0,0,9,6,3,ruoj-taba,Rujaba,ABAT-JOUR,5,4,0,0,0,0,VCVCVC,VBVZVL,2.27
abats,aba,NO,m,p,63,63,180,0,0,0,0,0,5,3,2,staba,aba,ABATS,5,2,0,0,0,1,CCV,VBV,1.96
abattage,abataj,NO,m,,42,42,163,0,0,0,1,0,8,6,3,egattaba,jataba,ABATTAGE,6,5,0,0,0,0,VCVCVC,VBVPVZ,2.54
abattement,abatmâ,NO,m,,251,251,240,0,0,0,1,0,10,6,3,tnemettaba,âmtaba,ABATTEMENT,6,5,0,0,0,0,VCVCCV,VBVPNV,2.87
abattis,abati,NO,m,p,46,46,167,0,0,0,0,0,7,5,3,sittaba,itaba,ABATTIS,6,5,0,0,0,0,VCVCV,VBVPV,2.68
abattoir,abatüaR,NO,m,,268,268,242,0,0,0,0,0,8,7,3,riottaba,Raütaba,ABATTOIR,6,5,0,0,0,0,VCVCYVC,VBVPYVL,2.75
abattre,abatR^,VB,,,3297,3297,351,0,1,0,0,0,7,6,3,erttaba,^Rtaba,ABATTRE,6,5,0,0,0,2,VCVCCV,VBVPLV,2.85
abattu,abaty,AJ,m,,1578,1578,319,0,0,0,0,0,6,5,3,uttaba,ytaba,ABATTU,7,5,0,0,1,0,VCVCV,VBVPV,2.43
abattue,abaty,AJ,f,,-1,1578,319,0,0,0,0,0,7,5,3,euttaba,ytaba,ABATTUE,7,5,0,0,1,1,VCVCV,VBVPV,2.63
abbatial,abasïal,AJ,m,,97,97,199,0,0,0,0,0,8,7,3,laitabba,laïsaba,ABBATIAL,9,6,0,0,1,0,VCVCYVC,VBVSYVL,2.27
abbatiale,abasïal,AJ,f,,-1,97,199,0,0,0,0,0,9,7,3,elaitabba,laïsaba,ABBATIALE,9,6,0,0,1,0,VCVCYVC,VBVSYVL,2.45
abbatiaux,abasïO,AJ,m,p,-1,97,199,0,0,0,0,0,9,6,3,xuaitabba,Oïsaba,ABBATIAUX,8,6,0,0,0,0,VCVCYV,VBVSYV,2.32
abbaye,abéi,NO,f,,527,527,272,0,0,0,0,0,6,4,3,eyabba,iéba,ABBAYE,5,4,0,0,0,0,VCVV,VBVV,1.42
abbé,abé,NO,m,,10176,10176,400,0,0,0,0,4,4,3,2,ébba,éba,ABBE,4,4,0,0,0,0,VCV,VBV,1.46
abbesse,abès,NO,f,,233,233,236,0,0,0,0,0,7,4,2,essebba,sèba,ABBESSE,4,5,0,0,0,0,VCVC,VBVS,2.34
abc,Abésé,NO,m,,4,4,69,0,0,0,0,0,3,5,3,cba,ésébA,ABC,4,2,0,0,0,1,VCVCV,VBVSV,1.14
abcès,apsè,NO,m,,412,412,261,0,0,0,0,0,5,4,2,sècba,èspa,ABCES,4,4,0,0,0,1,VCCV,VPSV,0.57
abdication,abdikAsïô,NO,f,,323,323,251,0,0,0,0,0,10,9,4,noitacidba,ôïsAkidba,ABDICATION,5,6,0,0,0,0,VCCVCVCYV,VBBVPVSYV,2.46
abdiquer,abdiké,VB,,,502,502,270,0,0,0,0,0,8,6,3,reuqidba,ékidba,ABDIQUER,5,6,0,0,0,0,VCCVCV,VBBVPV,2.42
abdomen,abdomèn,NO,m,,123,123,209,0,0,0,0,0,7,7,3,nemodba,nèmodba,ABDOMEN,6,6,0,0,0,0,VCCVCVC,VBBVNVN,2.28
abdominal,abdominal,AJ,m,,76,76,188,0,0,0,0,0,9,9,4,lanimodba,lanimodba,ABDOMINAL,10,8,0,0,1,0,VCCVCVCVC,VBBVNVNVL,2.26
abdominale,abdominal,AJ,f,,-1,76,188,0,0,0,0,0,10,9,4,elanimodba,lanimodba,ABDOMINALE,10,8,0,0,1,0,VCCVCVCVC,VBBVNVNVL,2.42
abdominaux,abdominO,NO,m,p,-1,-2,-2,0,0,0,0,0,10,8,4,xuanimodba,Onimodba,ABDOMINAUX,9,8,1,1,1,0,VCCVCVCV,VBBVNVNV,2.31
abdominaux,abdominO,AJ,m,p,-1,-2,-2,0,0,0,0,0,10,8,4,xuanimodba,Onimodba,ABDOMINAUX,9,8,1,1,1,0,VCCVCVCV,VBBVNVNV,2.31
abeille,abèï,NO,f,,1676,1676,322,0,0,0,0,5,7,4,2,ellieba,ïèba,ABEILLE,4,4,0,0,0,0,VCVY,VBVY,2.68
aberrant,abèRâ,AJ,m,,229,229,236,0,0,0,0,0,8,5,3,tnarreba,âRèba,ABERRANT,9,6,0,0,0,0,VCVCV,VBVLV,2.79
aberrante,abèRât,AJ,f,,-1,229,236,0,0,0,0,0,9,6,3,etnarreba,tâRèba,ABERRANTE,9,6,0,0,0,0,VCVCVC,VBVLVP,2.78
aberration,abèRAsïô,NO,f,,293,293,246,0,0,0,0,0,10,8,4,noitarreba,ôïsARèba,ABERRATION,7,5,0,0,0,0,VCVCVCYV,VBVLVSYV,2.79
abêtir,abétiR,VB,,,51,51,171,0,0,0,0,0,6,6,3,ritêba,Ritéba,ABETIR,6,6,0,0,0,0,VCVCVC,VBVPVL,2.34
abêtissant,abétisâ,AJ,m,,12,12,111,0,0,0,0,0,10,7,4,tnassitêba,âsitéba,ABETISSANT,11,8,0,0,0,0,VCVCVCV,VBVPVSV,2.60
abêtissante,abétisât,AJ,f,,-1,12,111,0,0,0,0,0,11,8,4,etnassitêba,tâsitéba,ABETISSANTE,11,8,0,0,0,0,VCVCVCVC,VBVPVSVP,2.62
abêtissement,abétismâ,NO,m,,25,25,141,0,0,0,0,0,12,8,4,tnemessitêba,âmsitéba,ABETISSEMENT,8,7,0,0,0,0,VCVCVCCV,VBVPVSNV,2.73
abhorrer,aboRé,VB,,,110,110,204,0,0,0,0,0,8,5,3,rerrohba,éRoba,ABHORRER,3,5,0,0,0,0,VCVCV,VBVLV,2.42
abîme,abim,NO,m,,4598,4598,366,0,0,0,0,0,5,4,2,emîba,miba,ABIME,6,5,0,0,0,0,VCVC,VBVN,1.72
abîmer,abimé,VB,,,829,829,291,0,0,0,0,0,6,5,3,remîba,émiba,ABIMER,6,5,0,0,0,0,VCVCV,VBVNV,2.07
abject,abjèkt,AJ,m,,489,489,269,0,0,0,0,0,6,6,2,tcejba,tkèjba,ABJECT,7,6,0,0,1,0,VCCVCC,VBZVPP,1.99
abjecte,abjèkt,AJ,f,,-1,489,269,0,0,0,0,0,7,6,2,etcejba,tkèjba,ABJECTE,7,6,0,0,1,0,VCCVCC,VBZVPP,2.29
abjection,abjèksïô,NO,f,,268,268,242,0,0,0,0,0,9,8,3,noitcejba,ôïskèjba,ABJECTION,7,6,0,0,0,1,VCCVCCYV,VBZVPSYV,2.52
abjuration,abjyRAsïô,NO,f,,46,46,167,0,0,0,0,0,10,9,4,noitarujba,ôïsARyjba,ABJURATION,6,6,0,0,0,1,VCCVCVCYV,VBZVLVSYV,2.60
abjurer,abjyRé,VB,,,119,119,207,0,0,0,0,0,7,6,3,rerujba,éRyjba,ABJURER,6,6,0,0,0,1,VCCVCV,VBZVLV,2.46
ablatif,ablatif,NO,m,,4,4,69,0,0,0,0,0,7,7,3,fitalba,fitalba,ABLATIF,7,4,0,0,0,0,VCCVCVC,VBLVPVS,2.65
ablation,ablAsïô,NO,f,,46,46,167,0,0,0,0,0,8,7,3,noitalba,ôïsAlba,ABLATION,7,4,0,0,0,0,VCCVCYV,VBLVSYV,2.88
ablutions,ablysïô,NO,f,p,106,106,202,0,0,0,0,0,9,7,3,snoitulba,ôïsylba,ABLUTIONS,4,4,0,0,0,0,VCCVCYV,VBLVSYV,2.87
abnégation,abnégasïô,NO,f,,433,433,263,0,0,0,0,0,10,9,4,noitagénba,ôïsagénba,ABNEGATION,3,3,0,0,0,0,VCCVCVCYV,VBNVBVSYV,2.35
aboiement,abüamâ,NO,m,,370,370,256,0,0,0,0,0,9,6,3,tnemeioba,âmaüba,ABOIEMENT,5,5,0,0,0,0,VCYVCV,VBYVNV,2.98
abois,abüa,NO,m,p,370,370,256,0,0,0,0,0,5,4,2,sioba,aüba,ABOIS,5,5,0,0,0,0,VCYV,VBYV,2.71
abolir,aboliR,VB,,,659,659,281,0,0,0,0,0,6,6,3,riloba,Riloba,ABOLIR,6,6,0,0,0,0,VCVCVC,VBVLVL,2.64
abolition,abolisïô,NO,f,,212,212,232,0,0,0,0,0,9,8,4,noitiloba,ôïsiloba,ABOLITION,10,8,0,0,0,0,VCVCVCYV,VBVLVSYV,2.76
abolitionnisme,abolisïonism^,NO,m,,-1,-1,-1,0,1,0,0,0,14,13,6,emsinnoitiloba,^msinoïsiloba,ABOLITIONNISME,13,12,0,0,0,1,VCVCVCYVCV,VBVLVSYVNV,2.72
abolitionniste,abolisïonist^,NO,h,,0,0,0,0,1,0,0,0,14,13,6,etsinnoitiloba,^tsinoïsiloba,ABOLITIONNISTE,13,12,1,1,1,1,VCVCVCYVCV,VBVLVSYVNV,2.79
abolitionniste,abolisïonist^,AJ,h,,-1,-1,-1,0,1,0,0,0,14,13,6,etsinnoitiloba,^tsinoïsiloba,ABOLITIONNISTE,13,12,1,1,1,1,VCVCVCYVCV,VBVLVSYVNV,2.79
abominable,abominabl^,AJ,h,,1595,1595,320,0,1,0,0,0,10,10,4,elbanimoba,^lbanimoba,ABOMINABLE,11,11,0,0,0,0,VCVCVCVCCV,VBVNVNVBLV,2.67
abominablement,abominabl^mâ,AV,,,127,127,210,0,0,0,0,0,14,12,6,tnemelbanimoba,âm^lbanimoba,ABOMINABLEMENT,11,11,0,0,0,0,VCVCVCVCCV,VBVNVNVBLV,2.80
abomination,abominAsïô,NO,f,,195,195,229,0,0,0,0,0,11,10,5,noitanimoba,ôïsAnimoba,ABOMINATION,8,7,0,0,0,0,VCVCVCVCYV,VBVNVNVSYV,2.77
abondamment,abôdamâ,AV,,,497,497,269,0,0,0,0,0,11,7,4,tnemmadnoba,âmadôba,ABONDAMMENT,7,5,0,0,0,0,VCVCVCV,VBVBVNV,2.78
abondance,abôdâs,NO,f,,1799,1799,325,0,0,0,0,0,9,6,3,ecnadnoba,sâdôba,ABONDANCE,8,6,0,0,0,1,VCVCVC,VBVBVS,2.78
abondant,abôdâ,AJ,m,,1246,1246,309,0,0,0,0,0,8,5,3,tnadnoba,âdôba,ABONDANT,9,6,0,0,0,0,VCVCV,VBVBV,2.78
abondante,abôdât,AJ,f,,-1,1246,309,0,0,0,0,0,9,6,3,etnadnoba,tâdôba,ABONDANTE,9,6,0,0,0,1,VCVCVC,VBVBVP,2.78
abonder,abôdé,VB,,,795,795,290,0,0,0,0,0,7,5,3,rednoba,édôba,ABONDER,6,5,0,0,0,2,VCVCV,VBVBV,2.79
abonné,aboné,NO,m,,255,-2,-2,0,0,0,0,0,6,5,3,énnoba,énoba,ABONNE,7,5,1,1,4,0,VCVCV,VBVNV,2.42
abonné,aboné,AJ,m,,-1,-2,-2,0,0,0,0,0,6,5,3,énnoba,énoba,ABONNE,7,5,1,1,4,0,VCVCV,VBVNV,2.42
abonnée,aboné,NO,f,,-1,-2,-2,0,0,0,0,0,7,5,3,eénnoba,énoba,ABONNEE,7,5,1,1,4,0,VCVCV,VBVNV,2.46
abonnée,aboné,AJ,f,,-1,-2,-2,0,0,0,0,0,7,5,3,eénnoba,énoba,ABONNEE,7,5,1,1,4,0,VCVCV,VBVNV,2.46
abonnement,abonmâ,NO,m,,148,148,217,0,0,0,0,0,10,6,3,tnemennoba,âmnoba,ABONNEMENT,7,5,0,0,0,0,VCVCCV,VBVNNV,2.87
abonner,aboné,VB,,,29,29,147,0,0,0,0,0,7,5,3,rennoba,énoba,ABONNER,7,5,0,0,4,2,VCVCV,VBVNV,2.77
abord,aboR,NO,m,,42105,-2,-2,0,0,0,0,0,5,4,2,droba,Roba,ABORD,6,5,1,1,2,0,VCVC,VBVL,2.41
abord,aboR,AV,,,-1,-2,-2,0,0,0,0,0,5,4,2,droba,Roba,ABORD,6,5,1,1,2,0,VCVC,VBVL,2.41
abordable,aboRdabl^,AJ,h,,59,59,177,0,1,0,0,0,9,9,4,elbadroba,^lbadRoba,ABORDABLE,7,7,0,0,0,0,VCVCCVCCV,VBVLBVBLV,2.59
abordage,aboRdaj,NO,m,,119,119,207,0,0,0,0,0,8,7,3,egadroba,jadRoba,ABORDAGE,7,7,0,0,0,0,VCVCCVC,VBVLBVZ,2.46
aborder,aboRdé,VB,,,3922,3922,359,0,0,0,0,0,7,6,3,redroba,édRoba,ABORDER,6,6,0,0,0,1,VCVCCV,VBVLBV,2.68
abords,aboR,NO,m,p,-1,-1,-1,0,0,0,0,0,6,4,2,sdroba,Roba,ABORDS,6,5,0,0,2,0,VCVC,VBVL,2.18
aborigène,aboRijèn,NO,h,,12,-2,-2,0,0,0,0,0,9,8,4,enègiroba,nèjiRoba,ABORIGENE,5,5,1,1,1,0,VCVCVCVC,VBVLVZVN,2.03
aborigène,aboRijèn,AJ,h,,-1,-2,-2,0,0,0,0,0,9,8,4,enègiroba,nèjiRoba,ABORIGENE,5,5,1,1,1,0,VCVCVCVC,VBVLVZVN,2.03
aboucher,abu/é,VB,,,72,72,186,0,0,0,0,0,8,5,3,rehcuoba,é/uba,ABOUCHER,5,4,0,0,0,0,VCVCV,VBVSV,2.75
abouler,abulé,VB,,,12,12,111,0,0,0,0,0,7,5,3,reluoba,éluba,ABOULER,6,5,0,0,0,1,VCVCV,VBVLV,2.87
aboulique,abulik,NO,h,,-1,-2,-2,0,0,0,0,0,9,6,3,euqiluoba,kiluba,ABOULIQUE,6,5,1,1,1,0,VCVCVC,VBVLVP,2.76
aboulique,abulik,AJ,h,,55,-2,-2,0,0,0,0,0,9,6,3,euqiluoba,kiluba,ABOULIQUE,6,5,1,1,1,0,VCVCVC,VBVLVP,2.76
aboutir,abutiR,VB,,,4386,4386,364,0,0,0,0,0,7,6,3,rituoba,Rituba,ABOUTIR,7,6,0,0,0,1,VCVCVC,VBVPVL,2.90
aboutissants,abutisâ,NO,m,p,404,404,260,0,0,0,0,0,12,7,4,stnassituoba,âsituba,ABOUTISSANTS,9,7,0,0,0,0,VCVCVCV,VBVPVSV,2.69
aboutissement,abutismâ,NO,m,,548,548,273,0,0,0,0,0,13,8,4,tnemessituoba,âmsituba,ABOUTISSEMENT,9,7,0,0,0,1,VCVCVCCV,VBVPVSNV,2.97
aboyer,abüaïé,VB,,,748,748,287,0,0,0,0,0,6,6,3,reyoba,éïaüba,ABOYER,4,5,0,0,0,0,VCYVYV,VBYVYV,2.38
abracadabrant,abRakadabRâ,AJ,m,,59,59,177,0,0,0,0,0,13,11,5,tnarbadacarba,âRbadakaRba,ABRACADABRANT,14,12,0,0,0,0,VCCVCVCVCC,VBLVPVBVBL,2.60
abracadabrante,abRakadabRât,AJ,f,,-1,59,177,0,0,0,0,0,14,12,5,etnarbadacarba,tâRbadakaRba,ABRACADABRANTE,14,12,0,0,0,0,VCCVCVCVCC,VBLVPVBVBL,2.61
abrasif,abRazif,NO,m,,-1,-1,-1,0,0,0,0,0,7,7,3,fisarba,fizaRba,ABRASIF,5,5,0,0,0,0,VCCVCVC,VBLVZVS,2.50
abrégé,abRéjé,NO,m,,276,276,244,0,0,0,0,0,6,6,3,égérba,éjéRba,ABREGE,6,5,0,0,1,1,VCCVCV,VBLVZV,2.13
abrégement,abRèjmâ,NO,m,,-1,-1,-1,0,0,0,0,0,10,7,3,tnemegérba,âmjèRba,ABREGEMENT,7,4,0,0,0,0,VCCVCCV,VBLVZNV,2.71
abréger,abRéjé,VB,,,387,387,258,0,0,0,0,0,7,6,3,regérba,éjéRba,ABREGER,7,5,0,0,1,2,VCCVCV,VBLVZV,2.53
abreuver,abRevé,VB,,,285,285,245,0,0,0,0,0,8,6,3,revuerba,éveRba,ABREUVER,7,6,0,0,0,0,VCCVCV,VBLVZV,2.90
abreuvoir,abRevüaR,NO,m,,233,233,236,0,0,0,0,0,9,8,3,riovuerba,RaüveRba,ABREUVOIR,7,6,0,0,0,0,VCCVCYVC,VBLVZYVL,2.98
abréviatif,abRévïatif,AJ,m,,21,21,134,0,0,0,0,0,10,10,4,fitaivérba,fitaïvéRba,ABREVIATIF,10,10,0,0,0,0,VCCVCYVCVC,VBLVZYVPVS,2.40
abréviation,abRévïAsïô,NO,f,,106,106,202,0,0,0,0,0,11,10,4,noitaivérba,ôïsAïvéRba,ABREVIATION,10,7,0,0,0,0,VCCVCYVCYV,VBLVZYVSYV,2.58
abréviative,abRévïativ,AJ,f,,-1,21,134,0,0,0,0,0,11,10,4,evitaivérba,vitaïvéRba,ABREVIATIVE,10,10,0,0,0,0,VCCVCYVCVC,VBLVZYVPVZ,2.40
abri,abRi,NO,m,,4250,4250,362,0,0,0,0,0,4,4,2,irba,iRba,ABRI,5,5,0,0,0,0,VCCV,VBLV,2.07
abricot,abRikO,NO,m,,195,195,229,0,0,0,0,0,7,6,3,tocirba,OkiRba,ABRICOT,8,6,0,0,0,0,VCCVCV,VBLVPV,2.45
abricotier,abRikotjé,NO,m,,59,59,177,0,0,0,0,0,10,9,4,reitocirba,éjtokiRba,ABRICOTIER,8,6,0,0,0,0,VCCVCVCCV,VBLVPVPZV,2.78
abrité,abRité,AJ,m,,680,680,283,0,0,0,0,0,6,6,3,étirba,étiRba,ABRITE,7,5,0,0,2,0,VCCVCV,VBLVPV,2.68
abritée,abRité,AJ,f,,-1,680,283,0,0,0,0,0,7,6,3,eétirba,étiRba,ABRITEE,7,5,0,0,2,0,VCCVCV,VBLVPV,2.51
abriter,abRité,VB,,,1701,1701,323,0,0,0,0,0,7,6,3,retirba,étiRba,ABRITER,6,5,0,0,2,0,VCCVCV,VBLVPV,2.90
abrogation,abRogAsïô,NO,f,,8,8,95,0,0,0,0,0,10,9,4,noitagorba,ôïsAgoRba,ABROGATION,6,5,0,0,0,0,VCCVCVCYV,VBLVBVSYV,2.68
abroger,abRojé,VB,,,25,25,141,0,0,0,0,0,7,6,3,regorba,éjoRba,ABROGER,6,5,0,0,0,2,VCCVCV,VBLVZV,2.60
abruti,abRyti,NO,m,,676,-2,-2,0,0,0,0,0,6,6,3,iturba,ityRba,ABRUTI,7,7,1,1,3,0,VCCVCV,VBLVPV,2.20
abruti,abRyti,AJ,m,,-1,-2,-2,0,0,0,0,0,6,6,3,iturba,ityRba,ABRUTI,7,7,1,1,3,0,VCCVCV,VBLVPV,2.20
abrutie,abRyti,NO,f,,-1,-2,-2,0,0,0,0,0,7,6,3,eiturba,ityRba,ABRUTIE,7,7,1,1,3,1,VCCVCV,VBLVPV,2.55
abrutie,abRyti,AJ,f,,-1,-2,-2,0,0,0,0,0,7,6,3,eiturba,ityRba,ABRUTIE,7,7,1,1,3,1,VCCVCV,VBLVPV,2.55
abrutir,abRytiR,VB,,,136,136,213,0,0,0,0,0,7,7,3,riturba,RityRba,ABRUTIR,7,7,0,0,0,2,VCCVCVC,VBLVPVL,2.70
abrutissant,abRytisâ,AJ,m,,51,51,171,0,0,0,0,0,11,8,4,tnassiturba,âsityRba,ABRUTISSANT,12,9,0,0,0,0,VCCVCVCV,VBLVPVSV,2.79
abrutissante,abRytisât,AJ,f,,-1,51,171,0,0,0,0,0,12,9,4,etnassiturba,tâsityRba,ABRUTISSANTE,12,9,0,0,0,0,VCCVCVCVC,VBLVPVSVP,2.79
abrutissement,abRytismâ,NO,m,,140,140,214,0,0,0,0,0,13,9,4,tnemessiturba,âmsityRba,ABRUTISSEMENT,9,8,0,0,0,1,VCCVCVCCV,VBLVPVSNV,2.87
abscisse,apsis,NO,f,,21,21,134,0,0,0,0,0,8,5,2,essicsba,sispa,ABSCISSE,5,5,0,0,0,0,VCCVC,VPSVS,2.60
abscons,apskô,AJ,m,,42,42,163,0,0,0,0,0,7,5,2,snocsba,ôkspa,ABSCONS,8,6,0,0,0,0,VCCCV,VPSPV,2.55
absconse,apskôs,AJ,f,,-1,42,163,0,0,0,0,0,8,6,2,esnocsba,sôkspa,ABSCONSE,8,6,0,0,0,0,VCCCVC,VPSPVS,2.60
absence,apsâs,NO,f,,8495,8495,392,0,0,0,0,0,7,5,2,ecnesba,sâspa,ABSENCE,6,6,0,0,0,1,VCCVC,VPSVS,2.80
absent,apsâ,NO,m,,3420,-2,-2,0,0,0,0,0,6,4,2,tnesba,âspa,ABSENT,7,5,1,1,1,0,VCCV,VPSV,2.80
absent,apsâ,AJ,m,,-1,-2,-2,0,0,0,0,0,6,4,2,tnesba,âspa,ABSENT,7,5,1,1,1,0,VCCV,VPSV,2.80
absente,apsât,NO,f,,-1,-2,-2,0,0,0,0,0,7,5,2,etnesba,tâspa,ABSENTE,8,6,1,1,1,1,VCCVC,VPSVP,2.79
absente,apsât,AJ,f,,-1,-2,-2,0,0,0,0,0,7,5,2,etnesba,tâspa,ABSENTE,8,6,1,1,1,1,VCCVC,VPSVP,2.79
absentéisme,apsâtéism^,NO,m,,0,0,0,0,1,0,0,0,11,10,5,emsiétnesba,^msiétâspa,ABSENTEISME,10,9,0,0,0,1,VCCVCVVCCV,VPSVPVVSNV,2.47
absentéiste,apsâtéist^,NO,h,,-1,-1,-1,0,1,0,0,0,11,10,5,etsiétnesba,^tsiétâspa,ABSENTEISTE,10,9,0,0,0,1,VCCVCVVCCV,VPSVPVVSPV,2.56
absenter,apsâté,VB,,,293,293,246,0,0,0,0,0,8,6,3,retnesba,étâspa,ABSENTER,8,7,0,0,0,0,VCCVCV,VPSVPV,2.92
absentionnisme,apsâsïonism^,NO,m,,-1,-1,-1,0,1,0,0,0,14,12,5,emsinnoitnesba,^msinoïsâspa,ABSENTIONNISME,13,11,0,0,0,1,VCCVCYVCVC,VPSVSYVNVS,2.81
absentionniste,apsâsïonist^,NO,h,,-1,-1,-1,0,1,0,0,0,14,12,5,etsinnoitnesba,^tsinoïsâspa,ABSENTIONNISTE,13,11,0,0,0,1,VCCVCYVCVC,VPSVSYVNVS,2.87
abside,apsid,NO,f,,144,144,216,0,0,0,0,0,6,5,2,edisba,dispa,ABSIDE,5,5,0,0,0,0,VCCVC,VPSVB,2.61
absinthe,apsêt,NO,f,,319,319,250,0,0,0,0,0,8,5,2,ehtnisba,têspa,ABSINTHE,5,4,0,0,0,0,VCCVC,VPSVP,2.45
absolu,apsoly,NO,m,,9908,-2,-2,0,0,0,0,0,6,6,3,ulosba,ylospa,ABSOLU,7,7,1,1,2,0,VCCVCV,VPSVLV,2.18
absolu,apsoly,AJ,m,,-1,-2,-2,0,0,0,0,0,6,6,3,ulosba,ylospa,ABSOLU,7,7,1,1,2,0,VCCVCV,VPSVLV,2.18
absolue,apsoly,AJ,f,,-1,-1,-1,0,0,0,0,0,7,6,3,eulosba,ylospa,ABSOLUE,7,7,0,0,2,0,VCCVCV,VPSVLV,2.58
absolument,apsolymâ,AV,,,9653,9653,398,0,0,0,0,0,10,8,4,tnemulosba,âmylospa,ABSOLUMENT,7,7,0,0,0,0,VCCVCVCV,VPSVLVNV,2.68
absolution,apsolysïô,NO,f,,387,387,258,0,0,0,0,0,10,9,4,noitulosba,ôïsylospa,ABSOLUTION,9,7,0,0,0,0,VCCVCVCYV,VPSVLVSYV,2.70
absolutisme,apsolytism^,NO,m,,144,144,216,0,1,0,0,0,11,11,5,emsitulosba,^msitylospa,ABSOLUTISME,10,10,0,0,0,1,VCCVCVCVCC,VPSVLVPVSN,2.60
absolutiste,apsolytist^,AJ,h,,63,63,180,0,1,0,0,0,11,11,5,etsitulosba,^tsitylospa,ABSOLUTISTE,10,10,0,0,0,1,VCCVCVCVCC,VPSVLVPVSP,2.69
absorbant,apsoRbâ,AJ,m,,306,306,248,0,0,0,0,0,9,7,3,tnabrosba,âbRospa,ABSORBANT,10,8,0,0,0,0,VCCVCCV,VPSVLBV,2.51
absorbante,apsoRbât,AJ,f,,-1,306,248,0,0,0,0,0,10,8,3,etnabrosba,tâbRospa,ABSORBANTE,10,8,0,0,0,0,VCCVCCVC,VPSVLBVP,2.54
absorber,apsoRbé,VB,,,2267,2267,335,0,0,0,0,0,8,7,3,rebrosba,ébRospa,ABSORBER,7,7,0,0,0,0,VCCVCCV,VPSVLBV,2.42
absorption,apsoRpsïô,NO,f,,344,344,253,0,0,0,0,0,10,9,3,noitprosba,ôïspRospa,ABSORPTION,6,6,0,0,0,0,VCCVCCCYV,VPSVLPSYV,2.57
absoudre,apsudR^,VB,,,391,391,259,0,1,0,0,0,8,7,3,erduosba,^Rduspa,ABSOUDRE,5,4,0,0,0,0,VCCVCCV,VPSVBLV,2.69
abstenir,apst^niR,VB,,,901,901,295,0,0,0,0,0,8,8,3,rinetsba,Rin^tspa,ABSTENIR,7,5,0,0,0,0,VCCCVCVC,VPSPVNVL,2.85
abstention,apstâsïô,NO,f,,348,348,254,0,0,0,0,0,10,8,3,noitnetsba,ôïsâtspa,ABSTENTION,11,8,0,0,0,0,VCCCVCYV,VPSPVSYV,2.91
abstentionnisme,apstâsïonism^,NO,m,,-1,-1,-1,0,1,0,0,0,15,13,5,emsinnoitnetsba,^msinoïsâtspa,ABSTENTIONNISME,14,12,0,0,0,1,VCCCVCYVCV,VPSPVSYVNV,2.82
abstentionniste,apstâsïonist^,NO,h,,12,12,111,0,1,0,0,0,15,13,5,etsinnoitnetsba,^tsinoïsâtspa,ABSTENTIONNISTE,14,12,0,0,0,1,VCCCVCYVCV,VPSPVSYVNV,2.88
abstinence,apstinâs,NO,f,,102,102,201,0,0,0,0,0,10,8,3,ecnenitsba,sânitspa,ABSTINENCE,5,5,0,0,0,0,VCCCVCVC,VPSPVNVS,2.84
