graph,phons,cgram,genre,nmbre,frfrm,frlex,cfrlex,nvarphon,schwa,redcons,nvarsem,vimag,ngraphs,nphons,nsyll,igraph,iphons,mgraph,pugraph,puphon,nbhom,nbhomg,nbhomp,nvoisort,phons1,phons2,freqdigr
dévergondé,dévèRgôdé,AJ,m,,-1,-2,-2,0,0,0,0,0,10,9,4,édnogrevéd,édôgRèvéd,DEVERGONDE,11,6,1,1,4,0,CVCVCCVCV,BVZVLBVBV,2.47
dévergondée,dévèRgôdé,NO,f,,-1,-2,-2,0,0,0,0,0,11,9,4,eédnogrevéd,édôgRèvéd,DEVERGONDEE,11,6,1,1,4,0,CVCVCCVCV,BVZVLBVBV,2.51
dévergondée,dévèRgôdé,AJ,f,,-1,-2,-2,0,0,0,0,0,11,9,4,eédnogrevéd,édôgRèvéd,DEVERGONDEE,11,6,1,1,4,0,CVCVCCVCV,BVZVLBVBV,2.51
dévergonder,dévèRgôdé,VB,,,8,8,95,0,0,0,0,0,11,9,4,rednogrevéd,édôgRèvéd,DEVERGONDER,10,6,0,0,4,0,CVCVCCVCV,BVZVLBVBV,2.70
déverrouiller,dévèRuïé,VB,,,46,46,167,0,0,0,0,0,13,8,4,relliuorrevéd,éïuRèvéd,DEVERROUILLER,6,6,0,0,0,0,CVCVCVYV,BVZVLVYV,2.94
déversement,dévèRs^mâ,NO,m,,8,8,95,0,0,0,0,0,11,9,4,tnemesrevéd,âm^sRèvéd,DEVERSEMENT,8,7,0,0,0,1,CVCVCCVCV,BVZVLSVNV,2.89
déverser,dévèRsé,VB,,,548,548,273,0,0,0,0,0,8,7,3,resrevéd,ésRèvéd,DEVERSER,8,7,0,0,0,0,CVCVCCV,BVZVLSV,2.81
déversoir,dévèRsüaR,NO,m,,29,29,147,0,0,0,0,0,9,9,3,riosrevéd,RaüsRèvéd,DEVERSOIR,7,7,0,0,0,0,CVCVCCYVC,BVZVLSYVL,2.82
dévêtir,dévétiR,VB,,,306,306,248,0,0,0,0,0,7,7,3,ritêvéd,Ritévéd,DEVETIR,4,4,0,0,0,0,CVCVCVC,BVZVPVL,2.45
déviateur,dévïateR,AJ,m,,-1,-1,-1,0,0,0,0,0,9,8,3,ruetaivéd,Retaïvéd,DEVIATEUR,7,7,0,0,0,0,CVCYVCVC,BVZYVPVL,2.72
déviation,dévïAsïô,NO,f,,442,442,264,0,0,0,0,0,9,8,3,noitaivéd,ôïsAïvéd,DEVIATION,10,8,0,0,0,0,CVCYVCYV,BVZYVSYV,2.72
déviationnisme,dévïAsïonism^,NO,m,,-1,-1,-1,0,1,0,0,0,14,13,5,emsinnoitaivéd,^msinoïsAïvéd,DEVIATIONNISME,13,12,0,0,0,1,CVCYVCYVCV,BVZYVSYVNV,2.70
déviationniste,dévïAsïonist^,NO,h,,-1,-1,-1,0,1,0,0,0,14,13,5,etsinnoitaivéd,^tsinoïsAïvéd,DEVIATIONNISTE,13,12,1,1,1,1,CVCYVCYVCV,BVZYVSYVNV,2.76
déviationniste,dévïAsïonist^,AJ,h,,-1,-1,-1,0,1,0,0,0,14,13,5,etsinnoitaivéd,^tsinoïsAïvéd,DEVIATIONNISTE,13,12,1,1,1,1,CVCYVCYVCV,BVZYVSYVNV,2.76
déviatrice,dévïatis,AJ,f,,-1,-1,-1,0,0,0,0,0,10,8,3,ecirtaivéd,sitaïvéd,DEVIATRICE,7,7,0,0,0,0,CVCYVCVC,BVZYVPVS,2.72
dévider,dévidé,VB,,,246,246,239,0,0,0,0,0,7,6,3,redivéd,édivéd,DEVIDER,5,5,0,0,0,2,CVCVCV,BVZVBV,2.63
dévier,dévïé,VB,,,514,514,271,0,0,0,0,0,6,5,2,reivéd,éïvéd,DEVIER,5,5,0,0,0,5,CVCYV,BVZYV,2.80
devin,d^vê,NO,m,,289,289,246,0,0,0,0,0,5,4,2,nived,êv^d,DEVIN,6,4,0,0,0,2,CVCV,BVZV,2.93
deviner,d^viné,VB,,,8589,8589,393,0,1,0,0,0,7,6,3,renived,éniv^d,DEVINER,8,6,0,0,0,1,CVCVCV,BVZVNV,3.04
devineresse,d^vinRès,NO,f,,-1,289,246,0,0,0,0,0,11,8,3,esserenived,sèRniv^d,DEVINERESSE,8,6,0,0,0,0,CVCVCCVC,BVZVNLVS,2.96
devinette,d^vinèt,NO,f,,161,161,220,0,1,0,0,0,9,7,3,ettenived,tèniv^d,DEVINETTE,7,6,0,0,0,0,CVCVCVC,BVZVNVP,2.90
devis,d^vi,NO,m,,106,106,202,0,1,0,0,0,5,4,2,sived,iv^d,DEVIS,6,5,0,0,0,1,CVCV,BVZV,2.99
dévisager,dévizajé,VB,,,1161,1161,306,0,0,0,0,0,9,8,4,regasivéd,éjazivéd,DEVISAGER,6,6,0,0,0,0,CVCVCVCV,BVZVZVZV,2.68
devise,d^viz,NO,f,,982,982,299,0,1,0,1,0,6,5,2,esived,ziv^d,DEVISE,7,6,0,0,0,0,CVCVC,BVZVZ,3.02
deviser,d^vizé,VB,,,285,285,245,0,0,0,0,0,7,6,3,resived,éziv^d,DEVISER,7,6,0,0,0,2,CVCVCV,BVZVZV,3.08
dévissage,dévisaj,NO,m,,-1,-1,-1,0,0,0,0,0,9,7,3,egassivéd,jasivéd,DEVISSAGE,7,6,0,0,0,0,CVCVCVC,BVZVSVZ,2.62
dévisser,dévisé,VB,,,89,89,195,0,0,0,0,0,8,6,3,ressivéd,ésivéd,DEVISSER,7,6,0,0,0,0,CVCVCV,BVZVSV,2.84
de visu,dévizy,LO,,,-1,-1,-1,0,0,0,0,0,7,6,3,usiv ed,yzivéd,DE VISU,4,6,0,0,0,0,CVCVCV,BVZVZV,1.76
dévitaliser,dévitalizé,VB,,,8,8,95,0,0,0,0,0,11,10,5,resilativéd,ézilativéd,DEVITALISER,5,5,0,0,0,0,CVCVCVCVCV,BVZVPVLVZV,2.80
dévoilement,dévüalmâ,NO,m,,17,17,125,0,0,0,0,0,11,8,3,tnemeliovéd,âmlaüvéd,DEVOILEMENT,8,7,0,0,0,0,CVCYVCCV,BVZYVLNV,3.03
dévoiler,dévüalé,VB,,,804,804,290,0,0,0,0,0,8,7,3,reliovéd,élaüvéd,DEVOILER,8,7,0,0,0,0,CVCYVCV,BVZYVLV,3.02
devoir,d^vüaR,NO,m,,124451,-2,-2,0,1,0,0,0,6,6,2,rioved,Raüv^d,DEVOIR,4,4,1,1,1,1,CVCYVC,BVZYVL,3.37
devoir,d^vüaR,VB,,,-1,-2,-2,0,1,0,0,0,6,6,2,rioved,Raüv^d,DEVOIR,4,4,1,1,1,1,CVCYVC,BVZYVL,3.37
dévolu,dévoly,NO,m,,314,-2,-2,0,0,0,0,0,6,6,3,ulovéd,ylovéd,DEVOLU,7,5,1,1,2,1,CVCVCV,BVZVLV,2.45
dévolu,dévoly,AJ,m,,-1,-2,-2,0,0,0,0,0,6,6,3,ulovéd,ylovéd,DEVOLU,7,5,1,1,2,1,CVCVCV,BVZVLV,2.45
dévolue,dévoly,AJ,f,,-1,-1,-1,0,0,0,0,0,7,6,3,eulovéd,ylovéd,DEVOLUE,7,5,0,0,2,1,CVCVCV,BVZVLV,2.81
dévorant,dévoRâ,AJ,m,,731,731,286,0,0,0,0,0,8,6,3,tnarovéd,âRovéd,DEVORANT,9,7,0,0,0,0,CVCVCV,BVZVLV,3.00
dévorante,dévoRât,AJ,f,,-1,731,286,0,0,0,0,0,9,7,3,etnarovéd,tâRovéd,DEVORANTE,9,7,0,0,0,0,CVCVCVC,BVZVLVP,2.97
dévorer,dévoRé,VB,,,2335,2335,336,0,0,0,0,0,7,6,3,rerovéd,éRovéd,DEVORER,6,6,0,0,0,2,CVCVCV,BVZVLV,2.98
dévot,dévO,NO,m,,1408,-2,-2,0,0,0,0,0,5,4,2,tovéd,Ovéd,DEVOT,6,5,1,1,1,0,CVCV,BVZV,2.53
dévot,dévO,AJ,m,,-1,-2,-2,0,0,0,0,0,5,4,2,tovéd,Ovéd,DEVOT,6,5,1,1,1,0,CVCV,BVZV,2.53
dévote,dévot,NO,f,,-1,-2,-2,0,0,0,0,0,6,5,2,etovéd,tovéd,DEVOTE,6,5,1,1,1,0,CVCVC,BVZVP,2.71
dévote,dévot,AJ,f,,-1,-2,-2,0,0,0,0,0,6,5,2,etovéd,tovéd,DEVOTE,6,5,1,1,1,0,CVCVC,BVZVP,2.71
dévotion,dévOsïô,NO,f,,2127,2127,332,0,0,0,0,0,8,7,3,noitovéd,ôïsOvéd,DEVOTION,6,5,0,0,0,0,CVCVCYV,BVZVSYV,2.85
dévoué,dévüé,AJ,m,,1306,1306,311,0,0,0,0,0,6,5,2,éuovéd,éüvéd,DEVOUE,7,5,0,0,2,1,CVCYV,BVZYV,2.64
dévouée,dévüé,AJ,f,,-1,1306,311,0,0,0,0,0,7,5,2,eéuovéd,éüvéd,DEVOUEE,7,5,0,0,2,1,CVCYV,BVZYV,2.55
dévouement,dévumâ,NO,m,,2080,2080,331,0,0,0,0,0,10,6,3,tnemeuovéd,âmuvéd,DEVOUEMENT,7,4,0,0,0,1,CVCVCV,BVZVNV,3.04
dévouer,dévüé,VB,,,527,527,272,0,0,0,0,0,7,5,2,reuovéd,éüvéd,DEVOUER,7,5,0,0,2,3,CVCYV,BVZYV,3.02
dévoyé,dévüaïé,NO,m,,182,-2,-2,0,0,0,0,0,6,7,3,éyovéd,éïaüvéd,DEVOYE,7,6,1,1,3,1,CVCYVYV,BVZYVYV,2.23
dévoyé,dévüaïé,AJ,m,,-1,-2,-2,0,0,0,0,0,6,7,3,éyovéd,éïaüvéd,DEVOYE,7,6,1,1,3,1,CVCYVYV,BVZYVYV,2.23
dévoyée,dévüaïé,NO,f,,-1,-2,-2,0,0,0,0,0,7,7,3,eéyovéd,éïaüvéd,DEVOYEE,7,6,1,1,3,1,CVCYVYV,BVZYVYV,2.09
dévoyée,dévüaïé,AJ,f,,-1,-2,-2,0,0,0,0,0,7,7,3,eéyovéd,éïaüvéd,DEVOYEE,7,6,1,1,3,1,CVCYVYV,BVZYVYV,2.09
dextérité,dèkstéRité,NO,f,,144,144,216,0,0,0,0,0,9,10,4,étirétxed,étiRétskèd,DEXTERITE,5,6,0,0,0,0,CVCCCVCVCV,BVPSPVLVPV,2.58
dextre,dèkstR^,NO,f,,29,29,147,0,1,0,0,0,6,7,2,ertxed,^Rtskèd,DEXTRE,5,6,0,0,0,0,CVCCCCV,BVPSPLV,2.90
dia,dïa,LO,,,-1,-1,-1,0,0,0,0,0,3,3,1,aid,aïd,DIA,4,4,0,0,0,3,CYV,BYV,1.79
diabète,dïabèt,NO,m,,85,85,193,0,0,0,0,0,7,6,2,etèbaid,tèbaïd,DIABETE,5,5,0,0,0,0,CYVCVC,BYVBVP,1.80
diabétique,dïabétik,NO,h,,25,-2,-2,0,0,0,0,0,10,8,3,euqitébaid,kitébaïd,DIABETIQUE,5,5,1,1,1,0,CYVCVCVC,BYVBVPVP,2.59
diabétique,dïabétik,AJ,h,,-1,-2,-2,0,0,0,0,0,10,8,3,euqitébaid,kitébaïd,DIABETIQUE,5,5,1,1,1,0,CYVCVCVC,BYVBVPVP,2.59
diable,dïAbl^,NO,m,,5900,-2,-2,0,1,0,1,0,6,6,2,elbaid,^lbAïd,DIABLE,7,6,1,1,1,2,CYVCCV,BYVBLV,2.79
diable,dïAbl^,AJ,h,,-1,-2,-2,0,1,0,0,0,6,6,2,elbaid,^lbAïd,DIABLE,7,6,1,1,1,2,CYVCCV,BYVBLV,2.79
diablement,dïabl^mâ,AV,,,119,119,207,1,0,0,0,0,10,8,3,tnemelbaid,âm^lbaïd,DIABLEMENT,7,7,0,0,0,0,CYVCCVCV,BYVBLVNV,2.93
diablerie,dïabl^Ri,NO,f,,123,123,209,1,0,0,0,0,9,8,3,eirelbaid,iR^lbaïd,DIABLERIE,7,7,0,0,0,0,CYVCCVCV,BYVBLVLV,2.76
diablesse,dïAblès,NO,f,,68,68,183,0,0,0,0,0,9,7,2,esselbaid,sèlbAïd,DIABLESSE,7,6,0,0,0,0,CYVCCVC,BYVBLVS,2.80
diablotin,dïablotê,NO,m,,46,46,167,1,0,0,0,0,9,8,3,nitolbaid,êtolbaïd,DIABLOTIN,6,6,0,0,0,0,CYVCCVCV,BYVBLVPV,2.69
diabolique,dïabolik,AJ,h,,761,761,288,1,0,0,0,0,10,8,3,euqilobaid,kilobaïd,DIABOLIQUE,7,7,0,0,0,0,CYVCVCVC,BYVBVLVP,2.64
diabolo,dïabolO,NO,m,,42,42,163,0,0,0,0,0,7,7,3,olobaid,Olobaïd,DIABOLO,7,7,0,0,0,0,CYVCVCV,BYVBVLV,2.12
diacre,dïakR^,NO,m,,170,170,223,0,1,0,0,0,6,6,2,ercaid,^Rkaïd,DIACRE,4,4,0,0,0,1,CYVCCV,BYVPLV,2.76
diadème,dïadèm,NO,m,,0,0,0,0,0,0,0,0,7,6,2,emèdaid,mèdaïd,DIADEME,4,4,0,0,0,0,CYVCVC,BYVBVN,1.77
diagnostic,dïagnostik,NO,m,,710,710,285,0,0,0,0,0,10,10,3,citsongaid,kitsongaïd,DIAGNOSTIC,10,11,0,0,0,0,CYVCCVCCVC,BYVBNVSPVP,2.45
diagnostiquer,dïagnostiké,VB,,,89,89,195,0,0,0,0,0,13,11,4,reuqitsongaid,ékitsongaïd,DIAGNOSTIQUER,10,11,0,0,0,0,CYVCCVCCVC,BYVBNVSPVP,2.72
diagonale,dïagonal,NO,f,,-1,-1,-1,0,0,0,0,0,9,8,3,elanogaid,lanogaïd,DIAGONALE,5,5,0,0,0,0,CYVCVCVC,BYVBVNVL,2.68
diagramme,dïagRam,NO,m,,34,34,154,0,0,0,0,0,9,7,2,emmargaid,maRgaïd,DIAGRAMME,5,5,0,0,0,0,CYVCCVC,BYVBLVN,2.67
dialectal,dïalèktal,AJ,m,,4,4,69,0,0,0,0,0,9,9,3,latcelaid,latkèlaïd,DIALECTAL,10,8,0,0,1,0,CYVCVCCVC,BYVLVPPVL,2.65
dialectale,dïalèktal,AJ,f,,-1,4,69,0,0,0,0,0,10,9,3,elatcelaid,latkèlaïd,DIALECTALE,10,8,0,0,1,0,CYVCVCCVC,BYVLVPPVL,2.76
dialectaux,dïalèktO,AJ,m,p,-1,4,69,0,0,0,0,0,10,8,3,xuatcelaid,Otkèlaïd,DIALECTAUX,9,8,0,0,0,0,CYVCVCCV,BYVLVPPV,2.65
dialecte,dïalèkt^,NO,m,,127,127,210,0,1,0,0,0,8,8,3,etcelaid,^tkèlaïd,DIALECTE,8,8,0,0,0,0,CYVCVCCV,BYVLVPPV,2.71
dialecticien,dïalèktisïê,NO,m,,123,123,209,0,0,0,0,0,12,11,4,neicitcelaid,êïsitkèlaïd,DIALECTICIEN,13,11,0,0,0,0,CYVCVCCVCY,BYVLVPPVSY,2.76
dialecticienne,dïalèktisïèn,NO,f,,-1,123,209,0,0,0,0,0,14,12,4,enneicitcelaid,nèïsitkèlaïd,DIALECTICIENNE,13,11,0,0,0,0,CYVCVCCVCY,BYVLVPPVSY,2.82
dialectique,dïalèktik,NO,f,,3024,-2,-2,0,0,0,0,0,11,9,3,euqitcelaid,kitkèlaïd,DIALECTIQUE,12,10,1,1,1,0,CYVCVCCVC,BYVLVPPVP,2.79
dialectique,dïalèktik,AJ,h,,-1,-2,-2,0,0,0,0,0,11,9,3,euqitcelaid,kitkèlaïd,DIALECTIQUE,12,10,1,1,1,0,CYVCVCCVC,BYVLVPPVP,2.79
dialectiquement,dïalèktikmâ,AV,,,80,80,190,0,0,0,0,0,15,11,4,tnemeuqitcelaid,âmkitkèlaïd,DIALECTIQUEMENT,12,10,0,0,0,0,CYVCVCCVCC,BYVLVPPVPN,2.87
dialectologie,dïalèktoloji,NO,f,,-1,-1,-1,0,0,0,0,0,13,12,5,eigolotcelaid,ijolotkèlaïd,DIALECTOLOGIE,8,8,0,0,0,0,CYVCVCCVCV,BYVLVPPVLV,2.53
dialogue,dïalog,NO,m,,3326,3326,352,0,0,0,0,3,8,6,2,eugolaid,golaïd,DIALOGUE,9,7,0,0,0,0,CYVCVC,BYVLVB,2.59
dialoguer,dïalogé,VB,,,144,144,216,0,0,0,0,0,9,7,3,reugolaid,égolaïd,DIALOGUER,9,7,0,0,0,0,CYVCVCV,BYVLVBV,2.65
dialoguiste,dïalogist^,NO,h,,-1,-1,-1,0,1,0,0,0,11,10,4,etsiugolaid,^tsigolaïd,DIALOGUISTE,8,7,0,0,0,0,CYVCVCVCCV,BYVLVBVSPV,2.63
diamant,dïamâ,NO,m,,1893,1893,327,0,0,0,0,0,7,5,2,tnamaid,âmaïd,DIAMANT,8,6,0,0,0,0,CYVCV,BYVNV,2.85
diamantaire,dïamâtèR,NO,m,,38,38,159,0,0,0,0,0,11,8,3,eriatnamaid,Rètâmaïd,DIAMANTAIRE,8,7,0,0,0,0,CYVCVCVC,BYVNVPVL,2.97
diamanté,dïamâté,AJ,m,,21,21,134,0,0,0,0,0,8,7,3,étnamaid,étâmaïd,DIAMANTE,9,7,0,0,1,0,CYVCVCV,BYVNVPV,2.80
diamantée,dïamâté,AJ,f,,-1,21,134,0,0,0,0,0,9,7,3,eétnamaid,étâmaïd,DIAMANTEE,9,7,0,0,1,0,CYVCVCV,BYVNVPV,2.66
diamantifère,dïamâtifèR,AJ,h,,-1,-1,-1,0,0,0,0,0,12,10,4,erèfitnamaid,Rèfitâmaïd,DIAMANTIFERE,8,7,0,0,0,0,CYVCVCVCVC,BYVNVPVSVL,2.35
diamétralement,dïamétRalmâ,AV,,,76,76,188,0,0,0,0,0,14,11,4,tnemelartémaid,âmlaRtémaïd,DIAMETRALEMENT,5,5,0,0,0,0,CYVCVCCVCC,BYVNVPLVLN,2.84
diamètre,dïamètR^,NO,m,,204,204,231,0,1,0,0,0,8,8,3,ertèmaid,^Rtèmaïd,DIAMETRE,5,5,0,0,0,0,CYVCVCCV,BYVNVPLV,2.14
diantre,dïâtR^,IN,,,97,97,199,0,1,0,0,0,7,6,2,ertnaid,^Rtâïd,DIANTRE,4,3,0,0,0,0,CYVCCV,BYVPLV,3.16
diapason,dïapazô,NO,m,,204,204,231,0,0,0,0,0,8,7,3,nosapaid,ôzapaïd,DIAPASON,5,5,0,0,0,0,CYVCVCV,BYVPVZV,2.61
diaphane,dïafan,AJ,h,,182,182,226,0,0,0,0,0,8,6,2,enahpaid,nafaïd,DIAPHANE,6,5,0,0,0,0,CYVCVC,BYVSVN,2.66
diaphragme,dïafRagm^,NO,m,,93,93,197,0,1,0,0,0,10,9,3,emgarhpaid,^mgaRfaïd,DIAPHRAGME,6,5,0,0,0,0,CYVCCVCCV,BYVSLVBNV,2.29
diapositive,dïapOzitiv,NO,f,,-1,-1,-1,0,0,0,0,5,11,10,4,evitisopaid,vitizOpaïd,DIAPOSITIVE,5,5,0,0,0,0,CYVCVCVCVC,BYVPVZVPVZ,2.60
diapré,dïapRé,AJ,m,,123,123,209,0,0,0,0,0,6,6,2,érpaid,éRpaïd,DIAPRE,7,6,0,0,1,0,CYVCCV,BYVPLV,2.43
diaprée,dïapRé,AJ,f,,-1,123,209,0,0,0,0,0,7,6,2,eérpaid,éRpaïd,DIAPREE,7,6,0,0,1,0,CYVCCV,BYVPLV,2.50
diaprure,dïapRyR,NO,f,,34,34,154,0,0,0,0,0,8,7,2,erurpaid,RyRpaïd,DIAPRURE,6,6,0,0,0,0,CYVCCVC,BYVPLVL,2.71
diarrhée,dïaRé,NO,f,,76,76,188,0,0,0,0,0,8,5,2,eéhrraid,éRaïd,DIARRHEE,4,4,0,0,0,0,CYVCV,BYVLV,2.19
diastase,dïastAz,NO,f,,17,17,125,0,0,0,0,0,8,7,2,esatsaid,zAtsaïd,DIASTASE,6,6,0,0,0,0,CYVCCVC,BYVSPVZ,2.71
diastole,dïastol,NO,f,,25,25,141,0,0,0,0,0,8,7,2,elotsaid,lotsaïd,DIASTOLE,6,6,0,0,0,0,CYVCCVC,BYVSPVL,2.71
diatomée,dïatomé,NO,f,,4,4,69,0,0,0,0,0,8,7,3,eémotaid,émotaïd,DIATOMEE,7,5,0,0,0,0,CYVCVCV,BYVPVNV,2.54
diatomique,diatomik,AJ,h,,-1,-1,-1,0,0,0,0,0,10,8,4,euqimotaid,kimotaid,DIATOMIQUE,7,3,0,0,0,0,CVVCVCVC,BVVPVNVP,2.76
diatribe,dïatRib,NO,f,,131,131,212,0,0,0,0,0,8,7,2,ebirtaid,biRtaïd,DIATRIBE,5,5,0,0,0,0,CYVCCVC,BYVPLVB,2.66
dichotomie,dikotomi,NO,f,,72,72,186,0,0,0,0,0,10,8,4,eimotohcid,imotokid,DICHOTOMIE,10,9,0,0,0,0,CVCVCVCV,BVPVPVNV,2.60
dichotomique,dikotomik,AJ,h,,8,8,95,0,0,0,0,0,12,9,4,euqimotohcid,kimotokid,DICHOTOMIQUE,10,9,0,0,0,0,CVCVCVCVC,BVPVPVNVP,2.69
dico,dikO,NO,m,,25,25,141,0,0,0,0,0,4,4,2,ocid,Okid,DICO,5,4,0,0,0,0,CVCV,BVPV,1.92
